Year,Q1,Q2,Q3,Q4,Account_Value
1983,1,0,0,0,1548.6
1983.25,0,1,0,0,1784.5
1983.5,0,0,1,0,1828.6
1983.75,0,0,0,1,2089.7
1984,1,0,0,0,1638.5
1984.25,0,1,0,0,1924.5
1984.5,0,0,1,0,1850.4
1984.75,0,0,0,1,2144.4
1985,1,0,0,0,1682.4
1985.25,0,1,0,0,2076.1
1985.5,0,0,1,0,1983.1
1985.75,0,0,0,1,2297
1986,1,0,0,0,1797.3
1986.25,0,1,0,0,2204
1986.5,0,0,1,0,2019.8
1986.75,0,0,0,1,2497.9
1987,1,0,0,0,1874.5
1987.25,0,1,0,0,2404.5
1987.5,0,0,1,0,2160.5
1987.75,0,0,0,1,2641
1988,1,0,0,0,2067.6
1988.25,0,1,0,0,2300.9
1988.5,0,0,1,0,2343.9
1988.75,0,0,0,1,3051.4
1989,1,0,0,0,2294.7
1989.25,0,1,0,0,2300.4
1989.5,0,0,1,0,2549.6
1989.75,0,0,0,1,2703
1990,1,0,0,0,2376.5
1990.25,0,1,0,0,2544
1990.5,0,0,1,0,2667.6
1990.75,0,0,0,1,2911.9
1991,1,0,0,0,2395.1
1991.25,0,1,0,0,2633.1
1991.5,0,0,1,0,2914.2
1991.75,0,0,0,1,3200.3
1992,1,0,0,0,2609.4
1992.25,0,1,0,0,2919.6
1992.5,0,0,1,0,3139.4
1992.75,0,0,0,1,3216.4
1993,1,0,0,0,2755.9
1993.25,0,1,0,0,3000.7
1993.5,0,0,1,0,3608.7
1993.75,0,0,0,1,3510.1
1994,1,0,0,0,3439.5
1994.25,0,1,0,0,3861.2
1994.5,0,0,1,0,3354.8
1994.75,0,0,0,1,3569.6
1995,1,0,0,0,3221.6
1995.25,0,1,0,0,4006.9
1995.5,0,0,1,0,3700.4
1995.75,0,0,0,1,3884.9
1996,1,0,0,0,3399.7
1996.25,0,1,0,0,4188.1
1996.5,0,0,1,0,4579.5
1996.75,0,0,0,1,4281.4
1997,1,0,0,0,3937.1
1997.25,0,1,0,0,5270.2
1997.5,0,0,1,0,4472.7
1997.75,0,0,0,1,4882.7
1998,1,0,0,0,4465.8
1998.25,0,1,0,0,5925
1998.5,0,0,1,0,4995.5
1998.75,0,0,0,1,5568.4
1999,1,0,0,0,5110.9
1999.25,0,1,0,0,7115.6
1999.5,0,0,1,0,5582.4
1999.75,0,0,0,1,6306.2
2000,1,0,0,0,5955.7
2000.25,0,1,0,0,8050.3
2000.5,0,0,1,0,6471.7
2000.75,0,0,0,1,7128.1
2001,1,0,0,0,6980
2001.25,0,1,0,0,8910
2001.5,0,0,1,0,6417
2001.75,0,0,0,1,8375
2002,1,0,0,0,7513
2002.25,0,1,0,0,7817
2002.5,0,0,1,0,7816
2002.75,0,0,0,1,9940
2003,1,0,0,0,7363
2003.25,0,1,0,0,8651
2003.5,0,0,1,0,7543
2003.75,0,0,0,1,10888
2004,1,0,0,0,8444
2004.25,0,1,0,0,9161
2004.5,0,0,1,0,8315
2004.75,0,0,0,1,11605
2005,1,0,0,0,9388
2005.25,0,1,0,0,8397
2005.5,0,0,1,0,9404
2005.75,0,0,0,1,13655
2006,1,0,0,0,12041
2006.25,0,1,0,0,9246
2006.5,0,0,1,0,10289
2006.75,0,0,0,1,16440
2007,1,0,0,0,12798
2007.25,0,1,0,0,9232
2007.5,0,0,1,0,10776
2007.75,0,0,0,1,16488
