ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,0.488,0.609,0.781,0.800,0.680,0.333
2,0.000,1.000,0.000,0.000,0.000,0.000,0.505,0.508,0.444,0.414,0.560,0.667
3,0.000,0.000,1.000,0.000,0.000,0.000,0.728,0.800,0.776,0.756,0.560,0.467
4,0.000,0.000,0.000,1.000,0.000,0.000,0.385,0.426,0.529,0.529,0.560,0.267
5,0.000,0.000,0.000,0.000,1.000,0.000,0.498,0.479,0.355,0.320,0.800,0.733
6,0.000,0.000,0.000,0.000,0.000,1.000,0.200,0.200,0.231,0.243,0.200,0.200
7,0.500,0.500,0.000,0.000,0.000,0.000,0.656,0.652,0.512,0.480,0.560,0.667
8,0.500,0.000,0.500,0.000,0.000,0.000,0.655,0.754,0.800,0.798,0.680,0.467
9,0.000,0.500,0.500,0.000,0.000,0.000,0.720,0.700,0.492,0.453,0.560,0.733
10,0.500,0.000,0.000,0.500,0.000,0.000,0.682,0.691,0.582,0.561,0.560,0.333
11,0.000,0.500,0.000,0.500,0.000,0.000,0.598,0.594,0.435,0.427,0.800,0.667
12,0.000,0.000,0.500,0.500,0.000,0.000,0.800,0.797,0.617,0.575,0.680,0.533
13,0.500,0.000,0.000,0.000,0.500,0.000,0.512,0.522,0.527,0.488,0.560,0.467
14,0.000,0.500,0.000,0.000,0.500,0.000,0.593,0.571,0.353,0.333,0.800,0.800
15,0.000,0.000,0.500,0.000,0.500,0.000,0.576,0.575,0.526,0.473,0.560,0.467
16,0.000,0.000,0.000,0.500,0.500,0.000,0.552,0.553,0.412,0.417,0.800,0.600
17,0.500,0.000,0.000,0.000,0.000,0.500,0.318,0.326,0.293,0.321,0.800,0.400
18,0.000,0.500,0.000,0.000,0.000,0.500,0.436,0.417,0.233,0.236,0.680,0.467
19,0.000,0.000,0.500,0.000,0.000,0.500,0.472,0.463,0.340,0.330,0.560,0.600
20,0.000,0.000,0.000,0.500,0.000,0.500,0.415,0.406,0.309,0.305,0.560,0.467
21,0.000,0.000,0.000,0.000,0.500,0.500,0.451,0.426,0.200,0.200,0.560,0.400
22,0.333,0.333,0.333,0.000,0.000,0.000,0.720,0.724,0.573,0.540,0.560,0.667
23,0.333,0.333,0.000,0.333,0.000,0.000,0.665,0.649,0.488,0.454,0.680,0.467
24,0.333,0.000,0.333,0.333,0.000,0.000,0.681,0.708,0.660,0.622,0.560,0.333
25,0.000,0.333,0.333,0.333,0.000,0.000,0.729,0.706,0.480,0.444,0.560,0.667
26,0.333,0.333,0.000,0.000,0.333,0.000,0.590,0.573,0.440,0.395,0.680,0.733
27,0.333,0.000,0.333,0.000,0.333,0.000,0.677,0.700,0.629,0.608,0.560,0.600
28,0.000,0.333,0.333,0.000,0.333,0.000,0.609,0.587,0.416,0.375,0.560,0.667
29,0.333,0.000,0.000,0.333,0.333,0.000,0.609,0.598,0.484,0.448,0.680,0.533
30,0.000,0.333,0.000,0.333,0.333,0.000,0.580,0.570,0.389,0.386,0.800,0.600
31,0.000,0.000,0.333,0.333,0.333,0.000,0.723,0.702,0.502,0.465,0.680,0.667
32,0.333,0.333,0.000,0.000,0.000,0.333,0.478,0.462,0.258,0.276,0.800,0.400
